,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
222,Love Wedding Repeat,Dean Craig,Piers Tempest Guglielmo Marchetti,Dean Craig,"['Plan de Table', 'by Francis Nief and Christelle Raynal']",Sam Claflin Olivia Munn Eleanor Tomlinson Joel Fry Tim Key Aisling Bea Jack Farthing Allan Mustafa Freida Pinto,,Hubert Taczanowski,Christian Sandino-Taylor,Notorious Pictures Tempo Productions,Netflix,100 minutes, Italy,English,100,,2020,,,
223,Tigertail,Alan Yang,Charles King Kim Roth Poppy Hanks Alan Yang,,,Tzi Ma Christine Ko Hayden Szeto Lee Hong-chi Kunjue Li Fiona Fu Yang Kuei-mei James Saito Joan Chen,Michael Brook,Nigel Bluck,Daniel Haworth,,Netflix,91 minutes,United States,Mandarin,91,,2020,Alan Yang,MACRO Netflix,
224,Earth and Blood,Julien Leclercq,,,,Sami Bouajila Eriq Ebouaney Samy Seghir,,,,,Netflix,80 minutes,Belgium,French,80,,2020,,Labyrinthe Films Umedia,
225,Rising High,Cüneyt Kaya,,,,David Kross Frederick Lau Janina Uhse,,,,,Netflix,94 minutes,Germany,German,94,,2020,Cüneyt Kaya,,
226,Sergio,Greg Barker,Wagner Moura Brent Travers Daniel Dreifuss,,,Wagner Moura Ana de Armas Garret Dillahunt Clemens Schick Will Dalton Bradley Whitford Brían F. O'Byrne,Fernando Velázquez,Adrian Teijido,Claudia Castello,Black Rabbit Media Anima Pictures Itapoan,Netflix,118 minutes,United States,English,118,,2020,Craig Borten,,
227,The Willoughbys,Kris Pearn,Brenda Gilbert Luke Carroll,Kris Pearn Mark Stanleigh,"['The Willoughbys', 'by', 'Lois Lowry']",Will Forte Maya Rudolph Alessia Cara Terry Crews Martin Short Jane Krakowski Seán Cullen Ricky Gervais,Mark Mothersbaugh,Sebastian Brodin,Fiona Toth Ken Schretzmann,,Netflix,92 minutes,Canada,English,92,,2020,,Netflix Animation Bron Animation Creative Wealth Media,Kris Pearn
228,Time to Hunt,Yoon Sung-hyun,Handae Rhee,,,Lee Je-hoon Ahn Jae-hong Choi Woo-shik Park Jung-min,,Lim Won-geun,Yoon Sung-hyun Wang Sung-ik,,Netflix,134 minutes,,Korean,134,,2020,Yoon Sung-hyun,Sidus Pictures,
229,Extraction,Sam Hargrave,"['Joe Russo', 'Anthony Russo', 'Mike Larocca', 'Chris Hemsworth', 'Eric Gitter', 'Peter Schwern']",Joe Russo,"['Ciudad', 'by Ande Parks', 'Joe Russo', 'Fernando León González']",Chris Hemsworth Rudhraksh Jaiswal Randeep Hooda Golshifteh Farahani Pankaj Tripathi David Harbour,Henry Jackman Alex Belcher,Newton Thomas Sigel,Peter B. Ellis Ruthie Aslan,,Netflix,117 minutes,United States,English,117,65000000,2020,,AGBO Thematic Entertainment India Take One Productions T.G.I.M. Films,Ande Parks Joe Russo Anthony Russo
230,Dangerous Lies,Michael Scott,Margaret H. Huddelston Stephanie Slack,,,Camila Mendes Jessie T. Usher Jamie Chung Cam Gigandet Sasha Alexander Elliott Gould,James Jandrisch,Ronald Richard,Alison Grace,Off Camera Entertainment,Netflix,96 minutes,United States,English,96,,2020,David Golden,,
231,Rich in Love,Bruno Garotti Anita Barbosa,,,,Danilo Mesquita Giovanna Lancellotti Fernanda Paes Leme,,,,,Netflix,104 minutes,Brazil,Portuguese,104,,2020,Bruno Garotti Sylvio Gonçalves,Ananã Produções,
232,All Day and a Night,Joe Robert Cole,Nina Jacobson Brad Simpson Jared Ian Goldman,,,Ashton Sanders Jeffrey Wright Regina Taylor Yahya Abdul-Mateen II,Michael Abels,Jessica Lee Gagné,Mako Kamitsuna,,Netflix,121 minutes,United States,English,121,,2020,Joe Robert Cole,Color Force Mighty Engine,
233,Mrs. Serial Killer,Shirish Kunder,Farah Khan Shirish Kunder,,,Jacqueline Fernandez Manoj Bajpayee Mohit Raina,Shirish Kunder,Ravi K. Chandran Kiran Deohans,Shirish Kunder,,Netflix,106 minutes,India,Hindi,106,,2020,Shirish Kunder,Three's Company Productions Pvt.Ltd,
234,The Half of It,Alice Wu,Anthony Bregman M. Blair Breard Alice Wu,,,Leah Lewis Daniel Diemer Alexxis Lemire,Anton Sanko,Greta Zozula,Ian Blume Lee Percy,,Netflix,104 minutes,United States,English,104,,2020,Alice Wu,Likely Story,
235,The Wrong Missy,Tyler Spindel,Kevin Grady Allen Covert Judit Maull,,,"David Spade Lauren Lapkus Nick Swardson Geoff Pierson Jackie Sandler Sarah Chalke Rob Schneider Chris Witaske Joe ""Roman Reigns"" Anoai Molly Sims",Mateo Messina,Theo van de Sande,Brian Robinson J.J. Titone,,Netflix,90 minutes,United States,English,90,,2020,Chris Pappas Kevin Barnett,Happy Madison Productions,
236,The Lovebirds,Michael Showalter,Tom Lassally Oly Obst Martin Gero Todd Schulman Jordana Mollick,Aaron Abrams Brendan Gall,,Kumail Nanjiani Issa Rae Paul Sparks Anna Camp Kyle Bornheimer,Michael Andrews,Brian Burgoyne,Robert Nassau Vince Filippone,Paramount Pictures MRC 3 Arts Entertainment Quinn's House,Netflix,87 minutes,United States,English,87,16000000,2020,,,Aaron Abrams Brendan Gall Martin Gero
237,I'm No Longer Here,Fernando Frías de la Parra,"Gerardo Gatica, Alberto Muffelmann, Gerry Kim, Fernando Frías de la Parra",,,"['Juan Daniel Garcia Treviño', 'Yahir Alday', 'Angelina Chen']",,Damian Garcia,Yibrán Asuad and Fernando Frías de la Parra,,Netflix,112 minutes,Mexico,Spanish,112,,2019,Fernando Frías de la Parra,"Panorama Global, PPW Films",
238,Intuition,Alejandro Montiel,,,,Luisana Lopilato Joaquín Furriel Rafael Ferro,,,,FAM Contenidos,Netflix,116 minutes,Argentina,Spanish,116,,2020,Alejandro Montiel,,
239,Choked,Anurag Kashyap,"['JAR Pictures', 'Anurag Kashyap', 'Dhruv Jagasia', 'Akshay Thakker']",,,Saiyami Kher Roshan Mathew Amruta Subhash Rajshri Deshpande,Karsh Kale,Sylvester Fonseca,Konark Saxena,,Netflix,114 minutes,India,Hindi,114,,2020,Nihit Bhave,"['JAR Pictures', 'Good Bad Films']",
240,The Last Days of American Crime,Olivier Megaton,Jesse Berger Jason Michael Berman Barry Levine,Karl Gajdusek,"['The Last Days of American Crime', 'by', 'Rick Remender', 'Greg Tocchini']",Édgar Ramírez Michael Pitt Anna Brewster Patrick Bergin Sharlto Copley,David Menke The Limiñanas,Daniel Aranyó,Mickael Dumontier,,Netflix,149 minutes,United States,English,149,,2020,,Radical Studios Mandalay Pictures,
241,Da 5 Bloods,Spike Lee,Jon Kilik Spike Lee Beatriz Levin Lloyd Levin,,,Delroy Lindo Jonathan Majors Clarke Peters Norm Lewis Isiah Whitlock Jr. Mélanie Thierry Paul Walter Hauser Jasper Pääkkönen Jean Reno Chadwick Boseman,Terence Blanchard,Newton Thomas Sigel,Adam Gough,40 Acres and a Mule Filmworks Rahway Road Lloyd Levin/Beatriz Levin Production,Netflix,156 minutes,United States,English,156,35000000,2020,Danny Bilson Paul De Meo Kevin Willmott Spike Lee,,
242,A Whisker Away,Junichi Sato Tomotaka Shibayama,,,,Mirai Shida Natsuki Hanae Hiroaki Ogi,Mina Kubota,,,,Netflix,104 minutes,Japan,Japanese,104,,2020,Mari Okada,"['Studio Colorido', 'Toho Animation', 'Twin Engine']",
243,Feel the Beat,Elissa Down,Susan Cartsonis,,,Sofia Carson Enrico Colantoni Wolfgang Novogratz,Michael Yezerski,Amir Mokri,,Resonate Entertainment Bitter Boy Productions Ltd. DeluxeFAM Contenidos,Netflix,107 minutes,United States,English,107,,2020,Michael Armbruster Shawn Ku,,
244,Lost Bullet,Guillaume Pierret,,,,Alban Lenoir Nicolas Duvauchelle Ramzy Bedia,,,,Inoxy Films Nolita TV Versus Production,Netflix,92 minutes,France,French,92,,2020,Guillaume Pierret Alban Lenoir Kamel Guemra,,
245,One-Way to Tomorrow,Ozan Açıktan,,,,Metin Akdülger Dilan Çiçek Deniz Tevfik Kartal,,,,OG Medya PToT Films,Netflix,90 minutes,Turkey,Turkish,90,,2020,Faruk Ozerten,,
246,Bulbbul,Anvita Dutt,"['Anushka Sharma', 'Karnesh Ssharma']",,,Tripti Dimri Avinash Tiwary Paoli Dam Rahul Bose Parambrata Chatterjee,Amit Trivedi,Siddharth Diwan,Rameshwar S. Bhagat,,Netflix,94 minutes,India,Hindi,94,,2020,Anvita Dutt,Clean Slate Filmz,
247,Nobody Knows I'm Here,Gaspar Antillo,,,,Jorge Garcia Millaray Lobos Nelson Brodt Juan Falcón Julio Fuentes,,,,Fabula,Netflix,100 minutes,Chile,Spanish,100,,2020,,,
248,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,Will Ferrell Jessica Elbaum Chris Henchy,,,Will Ferrell Rachel McAdams Dan Stevens Melissanthi Mahut Mikael Persbrandt Ólafur Darri Ólafsson Graham Norton Demi Lovato Pierce Brosnan,Atli Örvarsson,Danny Cohen,Greg Hayden,,Netflix,123 minutes,United States,English,123,,2020,Will Ferrell Andrew Steele,Gary Sanchez Productions Gloria Sanchez Productions EBU,
249,Under the Riccione Sun,Younuts,,,,Isabella Ferrari Lorenzo Zurzolo Ludovica Martino,,,,Lucky Red Mediaset New International,Netflix,101 minutes,Italy,Italian,101,,2020,Caterina Salvadori Enrico Vanzina,,
250,Desperados,LP,Nathan Kahane Erin Westerman Kelli Konop Mason Novick John Finemore Elizabeth Grave,,,Nasim Pedrad Anna Camp Lamorne Morris Sarah Burns Jessica Chaffin Toby Grey Mo Gaffney Izzy Diaz Robbie Amell Heather Graham Jessica Lowe,Mateo Messina,Tim Orr,Christian Hoffman,Good Universe MXN Entertainment Lost City,Netflix,105 minutes,United States,English,105,,2020,Ellen Rapoport,,
251,The Old Guard,Gina Prince-Bythewood,David Ellison Dana Goldberg Don Granger Charlize Theron A.J. Dix Beth Kono Marc Evans,Greg Rucka,"['The Old Guard', 'by Greg Rucka', 'Leandro Fernández']",Charlize Theron KiKi Layne Marwan Kenzari Luca Marinelli Harry Melling Veronica Ngo Matthias Schoenaerts Chiwetel Ejiofor,Volker Bertelmann Dustin O'Halloran,Tami Reiker Barry Ackroyd,Terilyn A. Shropshire,,Netflix,125 minutes,United States,English,125,70000000,2020,,Skydance Media Denver and Delilah Productions Marc Evans Productions,
252,The Players,Stefano Mordini,,,,Riccardo Scamarcio Valerio Mastandrea Laura Chiatti,,,,102 Distribution HT Film Indigo Film,Netflix,88 minutes,Italy,Italian,88,,2020,Filippo Bologna Stefano Mordini,,
253,Fatal Affair,Peter Sullivan,Barry Barnholtz Nia Long Jeffrey Schenck,,,Nia Long Omar Epps Stephen Bishop KJ Smith,Matthew Janszen,Eitan Almagor,Randy Carter,,Netflix,89 minutes,United States,English,89,,2020,Rasheeda Garner Peter Sullivan,Hybrid Films,
254,Offering to the Storm,Fernando González Molina,,,,Marta Etura Leonardo Sbaraglia Paco Tous,,,,ARTE Atresmedia Cine Nadcon Film,Netflix,139 minutes, Germany,Spanish,139,,2020,Luiso Berdejo Dolores Redondo,,
255,The Kissing Booth 2,Vince Marcello,Ed Glauser Andrew Cole-Bulgin Vince Marcello Michele Weisler,Vince Marcello Jay Arnold,"['The Kissing Booth', 'by Beth Reekles']",Joey King Joel Courtney Jacob Elordi Maisie Richardson-Sellers Taylor Zakhar Perez Molly Ringwald,Patrick Kirst,Anastas N. Michos,Paul Millspaugh,Picture Loom Productions Clearblack Films Komixx Entertainment,Netflix,131 minutes,United States,English,131,,2020,,,
256,Seriously Single,Katleho Ramaphakela Rethabile Ramaphakela,,,,Fulu Mugovhani Tumi Morake Bohang Moeko,,,,Burnt Onion Productions,Netflix,107 minutes,South Africa,English,107,,2020,Lwazi Mvusi,,
257,Raat Akeli Hai,Honey Trehan,"['Abhishek Chaubey', 'Ronnie Screwvala']",,,Nawazuddin Siddiqui Radhika Apte Shweta Tripathi Aditya Srivastava Tigmanshu Dhulia Gyanendra Tripathi Shivani Raghuvanshi Nitesh Kumar,"['Score:', 'Karan Kulkarni', 'Songs:', 'Sneha Khanwalkar']",Pankaj Kumar,A. Sreekar Prasad,,Netflix,150 minutes,India,Hindi,150,,2020,Smita Singh,"['RSVP Movies', 'Macguffin Pictures']",
258,Work It,Laura Terruso,Alicia Keys Leslie Morgenstein Elysa Koplovitz Dutton,,,Sabrina Carpenter Liza Koshy Keiynan Lonsdale Michelle Buteau Jordan Fisher,Germaine Franco,Rogier Stoffers,Andrew Marcus,A.K. Worldwide Productions Alloy Entertainment STXfilms,Netflix,93 minutes,United States,English,93,,2020,Alison Peck,,
259,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"['Karan Johar', 'Zee Studios', 'Hiroo Yash Johar', 'Apoorva Mehta']",,,"['Janhvi Kapoor', 'Pankaj Tripathi', 'Angad Bedi']","['Score:', 'John Stewart Eduri', 'Songs:', 'Amit Trivedi']",Manush Nandan,Nitin Baid,,Netflix,112 minutes,India,Hindi,112,,2020,"['Nikhil Mehrotra', 'Sharan Sharma']","['Dharma Productions', 'Zee Studios']",
260,Project Power,Henry Joost Ariel Schulman,Eric Newman Bryan Unkeless,,,Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Rodrigo Santoro Colson Baker Allen Maldonado Amy Landecker Courtney B. Vance,Joseph Trapanese,Michael Simmonds,Jeff McEvoy,Screen Arcade Supermarche,Netflix,114 minutes,United States,English,114,85100000,2020,Mattson Tomlin,,
261,Fearless,Cory Edwards,John H. Williams Danielle Sterling Patrick Worlock Robyn Klein,Cory Edwards John Murphy,,Yara Shahidi Miles Robbins Jadakiss,Anne-Kathrin Dern,,Rob Neal,3QU Media Vanguard Animation New Hero Cinesite,Netflix,89 minutes,Canada,English,89,,2020,,,
262,Crazy Awesome Teachers,Sammaria Simanjuntak,,,,Gading Marten Boris Bokir Kevin Ardilova,,,,Base Entertainment,Netflix,101 minutes,Indonesia,Indonesian,101,,2020,Rahabi Mandra Dian Sastrowardoyo Tanya Yuson,,
263,The Crimes That Bind,Sebastián Schindel,,,,Cecilia Roth Miguel Ángel Solá Sofía Gala Castiglione,,,,Buffalo Films Magoya Films Tieless Media,Netflix,99 minutes,Argentina,Spanish,99,,2020,Pablo Del Teso Sebastián Schindel,,
264,The Sleepover,Trish Sie,Mickey Liddell Pete Shilaimon,,,Sadie Stanley Maxwell Simkins Cree Cicchino Lucas Jaye Ken Marino Joe Manganiello Malin Åkerman,Germaine Franco,Conrad W. Hall,Jonathan Schwartz,LD Entertainment,Netflix,100 minutes,United States,English,100,,2020,Sarah Rothschild,,
265,Class of '83,Atul Sabharwal,Gauri Khan Shah Rukh Khan Gaurav Verma,,"['The Class of 83', 'by', 'Hussain Zaidi']",Bobby Deol,Viju Shah,Mario Poljac,Manas Mittal,Red Chillies Entertainment,Netflix,98 minutes,India,Hindi,98,,2020,Abhijeet Deshpande,,
266,Dark Forces,Bernardo Arellano,,,,Mauricio Aspe Johana Fragoso Blendl Dale Carley,,,,Biznaga Films Corazón Films,Netflix,81 minutes,Mexico,Spanish,81,,2020,Bernardo Arellano,,
267,All Together Now,Brett Haley,Ellen Goldsmith-Vein Lee Stollman Isaac Klausner Marty Bowen,Matthew Quick Brett Haley Marc Basch,"['Sorta Like a Rockstar', 'by Matthew Quick']",Auliʻi Cravalho Rhenzy Feliz Judy Reyes Justina Machado Taylor Richardson C.S. Lee Anthony Jacques Jr. Gerald Issac Waters Fred Armisen Carol Burnett,Keegan DeWitt,Rob C. Givens,Mollie Goldstein,Gotham Group Thunderhead Pictures,Netflix,92 minutes,United States,English,92,,2020,,,
268,Unknown Origins,David Galán Galindo,,,"['Orígenes Secretos', 'by David Galán Galindo']",Verónica Echegui Javier Rey,Federico Jusid,Rita Noriega,Leire Alonso Martí Roca,In Post We Trust La Chica de la Curva Nadie es Perfecto,Netflix,100 minutes,Spain,Spanish,100,,2020,David Galán Galindo Fernando Navarro,,
269,Freaks: You're One of Us,Felix Binder,,,,Finnlay Berger Thelma Buabeng Gisa Flake,,,,,Netflix,92 minutes,Germany,German,92,,2020,Marc O. Seng,,
270,"Love, Guaranteed",Mark Steven Johnson,Rachael Leigh Cook Dan Spilo Stephanie Slack Margret H. Huddleston,,,Rachael Leigh Cook Damon Wayans Jr. Caitlin Howden Jed Rees Lisa Durupt Sean Amsing Brendan Taylor Alvin Sanders Kandyse McClure Heather Graham,Ryan Shore,José David Montero,Kathryn Himoff,Off Camera Entertainment Industry Entertainment,Netflix,90 minutes,United States,English,90,,2020,Elizabeth Hackett Hilary Galanoy,,
271,I'm Thinking of Ending Things,Charlie Kaufman,Anthony Bregman Charlie Kaufman Robert Salerno Stephanie Azpiazu,Charlie Kaufman,"[""I'm Thinking of Ending Things"", 'by', 'Iain Reid']",Jesse Plemons Jessie Buckley Toni Collette David Thewlis,Jay Wadley,Łukasz Żal,Robert Frazen,Likely Story Projective Testing Service,Netflix,134 minutes,United States,English,134,,2020,,,
272,The Babysitter: Killer Queen,McG,McG Mary Viola Zack Schiller,,"['Characters', 'by', 'Brian Duffield']",Judah Lewis Emily Alyn Lind Jenna Ortega Robbie Amell Andrew Bachelor Leslie Bibb Hana Mae Lee Bella Thorne Samara Weaving Ken Marino,Bear McCreary,Scott Henriksen,Martin Bernfeld,Wonderland Sound & Vision Boies/Schiller Film Group,Netflix,101 minutes,United States,English,101,,2020,Dan Lagana Brad Morris Jimmy Warden McG,,
273,Dad Wanted,Javier Colinas,,,,Juan Pablo Medina Ela Velden Silvia Navarro,,,,,Netflix,102 minutes,Mexico,Spanish,102,,2020,Victor Avelar Javier Colinas Paulette Hernandez Fernando Barreda Luna,,
274,The Devil All the Time,Antonio Campos,Jake Gyllenhaal Riva Marker Randall Poster Max Born,Antonio Campos Paulo Campos,"['The Devil All the Time', 'by', 'Donald Ray Pollock']",Tom Holland Bill Skarsgård Riley Keough Jason Clarke Sebastian Stan Haley Bennett Eliza Scanlen Mia Wasikowska Robert Pattinson,Danny Bensi Saunder Jurriaans,Lol Crawley,Sofía Subercaseaux,,Netflix,138 minutes,United States,English,138,,2020,,Nine Stories Productions Bronx Moving Company,
275,The Paramedic,Carles Torras,,,,Celso Bugallo Mario Casas Déborah François,,,,,Netflix,,Spain,Spanish,,,2020,David Desola Hèctor Hernández Vicens,Netflix,
276,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,"['Ekta Kapoor', 'Shobha Kapoor']",,,"['Konkona Sen Sharma', 'Bhumi Pednekar']","['Score:', 'Mangesh Dhakde', 'Songs:', 'Arjuna Harjai', 'Clinton Cerejo', 'Sadhu S Tiwari']",John Jacob Payyapalli,Charu Shree Roy,,Netflix,120 minutes,India,Hindi,120,,2019,,"['Balaji Motion Pictures', 'ALT Entertainment']",
277,Whipped,Chandra Liow,,,,Andovi Da Lopez Jovial Da Lopez Tommy Limm,,,,,Netflix,97 minutes,Indonesia,Indonesian,97,,2020,Jovial Da Lopez,,
278,Enola Holmes,Harry Bradbeer,Mary Parent Alex Garcia Ali Mendes Millie Bobby Brown Paige Brown,Jack Thorne,"['The Enola Holmes Mysteries: The Case of the Missing Marquess', 'by', 'Nancy Springer']",Millie Bobby Brown Sam Claflin Henry Cavill Helena Bonham Carter,Daniel Pemberton,Giles Nuttgens,Adam Bosman,Legendary Pictures PCMA Productions,Netflix,121 minutes, New Zealand,English,121,,2020,,,
279,The Boys in the Band,Joe Mantello,Ryan Murphy David Stone Joe Mantello Ned Martel Alexis Martin Woodall,Mart Crowley Ned Martel,"['The Boys in the Band', 'by Mart Crowley']",Jim Parsons Zachary Quinto Matt Bomer Andrew Rannells Charlie Carver Robin de Jesús Brian Hutchison Michael Benjamin Washington Tuc Watkins,,Bill Pope,Adriaan van Zyl,,Netflix,122 minutes,United States,English,122,,2020,,Ryan Murphy Productions,
280,Pasal Kau!,Adrian Teh,Adrian Teh,Shamaine Othman/Nazri Annuar,,"['Hairul Azreen', 'Janna Nick', 'Amerul Affendi', 'Namron', 'Henley Hii']",,Yong Choon Lin,Lee Pai Seang,,Netflix,1 hour 42 minutes,Malaysia,Malay,1,,2020,,ACT 2 Pictures,Hairul Azreen
281,Oloture,Kenneth Gyang,Heidi Uys Temidayo Abudu James Amuta,Yinka Ogun Craig Freimond,,Beverly Osu Sharon Ooja Omowumi Dada,Kulanen Ikyo,Malcolm Mclean,Victoria Akujobi Johnson Awolola,,Netflix,106 minutes,Nigeria,English,106,,2020,,EbonyLife Films,Mo Abudu Heidi Uys
282,Serious Men,Sudhir Mishra,"['Sudhir Mishra', 'Bhavesh Mandalia', 'Sejal Shah']",,Serious Men by Manu Joseph,Nawazuddin Siddiqui Indira Tiwari Nassar Aakshath Das Sanjay Narvekar Shweta Basu Prasad Yogesh Yadav,Karel Antonin,Alexander Sukala,Atanu Mukherjee,,Netflix,114 minutes,India,Hindi,114,,2020,"['Bhavesh Mandalia', 'Abhijeet Khuman', 'Niren Bhatt', 'Nikhil Nair']","['Bombay Fables', 'Cineraas Entertainment']",
283,The Binding,Domenico Emanuele de Feudis,,,,Riccardo Scamarcio Michael C. Pizzuto Federica Rosellini,,,,,Netflix,93 minutes,Italy,Italian,93,,2020,Daniele Cosci Davide Orsini Domenico Emanuele de Feudis,,
284,Vampires vs. the Bronx,Oz Rodriguez,Lorne Michaels Erin David Bert Hamelinck Michael Sagol,Oz Rodriguez Blaise Hemingway,,Jaden Michael Gerald W. Jones III Gregory Diaz IV Coco Jones,Will Blair Brooke Blair,Blake McClure,Alex O'Flinn Sara Shaw,,Netflix,86 minutes,United States,English,86,,2020,,Broadway Video Caviar,Oz Rodriguez
285,You've Got This,Salvador Espinosa,,,,Mauricio Ochmann Esmeralda Pimentel,,,,,Netflix,111 minutes,Mexico,Spanish,111,,2020,Tiaré Scanda Leonardo Zimbrón,,
286,Hubie Halloween,Steven Brill,Adam Sandler Kevin Grady Allen Covert,,,Adam Sandler Kevin James Julie Bowen Ray Liotta Rob Schneider June Squibb Kenan Thompson Shaquille O'Neal Steve Buscemi Maya Rudolph Tim Meadows Karan Brar Paris Berelc Noah Schnapp China Anne McClain Michael Chiklis,Rupert Gregson-Williams,Seamus Tierney,Tom Costain Brian Robinson JJ Titone,,Netflix,102 minutes,United States,English,102,,2020,Tim Herlihy Adam Sandler,Happy Madison Productions,
287,Ginny Weds Sunny,Puneet Khanna,Vinod Bachchan,,,"['Yami Gautam', 'Vikrant Massey']","['Score:', 'Prasad Sashte', 'Songs:', 'Payal Dev', 'Gaurav Chatterji', 'Jaan Nissar Lone']",Nuthan Nagaraj,Sandeep Sethy,,Netflix,125 minutes,India,Hindi,125,,2020,"['Navjot Gulati', 'Sumit Arora']",Soundrya Production,
288,The 40-Year-Old Version,Radha Blank,Lena Waithe Jordan Fudge Radha Blank Inuka Bacote-Capiga Jennifer Semler Rishi Rajani,,,Radha Blank Peter Kim Oswin Benjamin Reed Birney,Guy C. Routte,Eric Branco,Robert Grigsby Wilson,New Slate Ventures Hillman Grad Productions Endeavor Content,Netflix,129 minutes,United States,English,129,,2020,Radha Blank,,
289,A Babysitter's Guide to Monster Hunting,Rachel Talalay,Ivan Reitman Amie Karp,Joe Ballarini,"[""A Babysitter's Guide to Monster Hunting"", 'by Joe Ballarini']",Tamara Smart Oona Laurence Ian Ho Troy Leigh-Anne Johnson Lynn Masako Cheng Ty Consiglio,Matthew Margeson,Gregory Middleton,Stein Myhrstad,,Netflix,94 minutes,United States,English,94,,2020,,The Montecito Picture Company Walden Media,
290,Love Like the Falling Rain,Lasja Fauzia,,,"['Seperti Hujan Yang Jatuh Ke Bumi', 'by Boy Candra']",Jefri Nichol Aurora Ribero Axel Matthew Thomas,,,,"['IFI Sinema', 'Screenplay Films']",Netflix,86 minutes,Indonesia,Indonesian,86,,2020,Upi Avianto Boy Candra Piu Syarif,,
291,The Trial of the Chicago 7,Aaron Sorkin,Stuart M. Besser Matt Jackson Marc Platt Tyler Thompson,,,Yahya Abdul-Mateen II Sacha Baron Cohen Daniel Flaherty Joseph Gordon-Levitt Michael Keaton Frank Langella John Carroll Lynch Eddie Redmayne Noah Robbins Mark Rylance Alex Sharp Jeremy Strong,Daniel Pemberton,Phedon Papamichael,Alan Baumgarten,,Netflix,130 minutes,United States,English,130,35000000,2020,Aaron Sorkin,DreamWorks Pictures Cross Creek Pictures Alibaba Pictures Marc Platt Productions Amblin Partners,
292,Rebecca,Ben Wheatley,Tim Bevan Eric Fellner Nira Park,Jane Goldman Joe Shrapnel Anna Waterhouse,"['Rebecca', 'by', 'Daphne du Maurier']",Lily James Armie Hammer Kristin Scott Thomas,Clint Mansell,Laurie Rose,Jonathan Amos,,Netflix,121 minutes,United Kingdom,English,121,,2020,,Working Title Films,
293,Cadaver,Jarand Herdal,,,,Gitte Witt Thomas Gullestad Thorbjørn Harr,Jonathan Sigsworth,Jallo Faber,Jens Peder Hertzberg,Motion Blur SF Studios,Netflix,86 minutes,Norway,Norwegian,86,,2020,Jarand Herdal,,
294,Over the Moon,Glen Keane,Gennie Rim Peilin Chou,"['Alice Wu', 'Audrey Wells', 'Jennifer Yee McDevitt']",,Cathy Ang Phillipa Soo Ken Jeong John Cho Ruthie Ann Miles Margaret Cho Sandra Oh,Steven Price Christopher Curtis Marjorie Duffield Helen Park,,Edie Ichioka,,Netflix,100 minutes,China,English,100,,2020,Audrey Wells,Netflix Animation Pearl Studio Sony Pictures Imageworks Glen Keane Productions,
295,Holidate,John Whitesell,McG Mary Viola,,,Emma Roberts Luke Bracey,Dan the Automator,Shane Hurlbut,Emma E. Hickox,,Netflix,103 minutes,United States,English,103,,2020,Tiffany Paulsen,Wonderland Sound and Vision,
296,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,,,,Julia Wieniawa-Narkiewicz Michał Lupa Wiktoria Gasiewska,,,,Akson Studio Plan Zet Polski Instytut Sztuki Filmowej,Netflix,102 minutes,Poland,Polish,102,,2020,Bartosz M. Kowalski Jan Kwiecinski Mirella Zaradkiewicz,,
297,His House,Remi Weekes,Aidan Elliott Martin Gentles Arnon Milchan Ed King Roy Lee,Remi Weekes,,Wunmi Mosaku Sope Dirisu Matt Smith,,Jo Willems,Julia Bloch,Regency Enterprises BBC Films Vertigo Entertainment Starchild Pictures,Netflix,93 minutes,United Kingdom,Dinka,93,,2020,,,Felicity Evans Toby Venables
298,Kaali Khuhi,Terrie Samundra,"['Ramon Chibb', 'Anku Pandey']",,,Shabana Azmi Sanjeeda Sheikh Riva Arora Satyadeep Mishra Leela Samson,Daniel B.George,Sejal Shah,Sanyukta Kaza,,Netflix,,India,Hindi,,,2020,"['Terrie Samundra', 'David Walter Lech', 'Rupinder Inderjit']",Manomay Motion Picture,
299,Rogue City,Olivier Marchal,,,,Lannick Gautry Stanislas Merhar Kaaris,,,,Gaumont Umedia uFund,Netflix,116 minutes,France,French,116,,2020,Olivier Marchal,,
300,The Day of the Lord,Santiago Alvarado Ilarri,,,,Dolores Heredia Ximena Romo Juli Fàbregas,,,,Invico Capital Magno Entertainment Minds Eye Entertainment,Netflix,93 minutes,Mexico,Spanish,93,,2020,Santiago Alvarado Ilarri Ramón Salas,,
301,Ludo,Anurag Basu,"['Bhushan Kumar', 'Divya Khosla Kumar', 'Krishan Kumar', 'Anurag Basu', 'Tani Basu']",Himanshu Jaykar,,"['Abhishek Bachchan', 'Aditya Roy Kapur', 'Rajkummar Rao', 'Pankaj Tripathi', 'Rohit Suresh Saraf', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Pearle Maaney', 'Inayat Verma']",Pritam,,Ajay Sharma,,Netflix,,India,Hindi,,,2020,Anurag Basu,"['T-Series', 'Anurag Basu Productions']",
