,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
43,Naked,Michael Tiddes,"['Ted Sarandos', 'Marlon Wayans', 'Rick Alvarez', 'Todd Garner', 'Ryan Lewis']","['Cory Koller', 'Marlon Wayans', 'Rick Alvarez']","['Naken', 'by Torkel Knutsson', 'Mårten Knutsson']","['Marlon Wayans', 'Regina Hall', 'Loretta Devine', 'J.T. Jackson', 'Eliza Coupe', 'Scott Foley', 'Dave Sheridan', 'Neil Brown Jr.', 'Brian McKnight', 'Dennis Haysbert']",David Newman,David Ortkiese,Lawrence Jordan,,Netflix,96 minutes,United States,English,96,,2017,,"['Broken Road Productions', 'Baby Way Productions']",
44,Death Note,Adam Wingard,Roy Lee Dan Lin Masi Oka Jason Hoffs Ted Sarandos,Charles Parlapanides Vlas Parlapanides Jeremy Slater,"['Death Note', 'by', 'Tsugumi Ohba', 'Takeshi Obata']",Nat Wolff Lakeith Stanfield Margaret Qualley Shea Whigham Paul Nakauchi Jason Liles Willem Dafoe,Atticus Ross Leopold Ross,David Tattersall,Louis Cioffi,LP Entertainment Vertigo Entertainment Lin Pictures,Netflix,100 minutes,United States,English,100,40000000,2017,,,
45,Little Evil,Eli Craig,Jason Michael Berman Scott Stuber,,,Evangeline Lilly Adam Scott Bridget Everett Owen Atlas Kyle Bornheimer Chris D'Elia Donald Faison Carla Gallo Tyler Labine Brad Williams Clancy Brown Sally Field,"['Marco Beltrami', 'Brandon Roberts', 'Marcus Trumpp']",Matthew Clark,Tia Nolan,,Netflix,95 minutes,United States,English,95,7500000,2017,Eli Craig,Bluegrass Films Mandalay Pictures,
46,Reality High,Fernando Lebrija,"['Jane Fleming', 'Mark Ordesky']",,,"['Nesta Cooper', 'Keith Powers']",Ruwanga Samath,Pietro Zuercher,"['Radu Ion', 'Amy McGrath']",,Netflix,99 minutes,United States,English,99,,2017,"['Brandon Broussard', 'Hudson Obayuwana', 'Jana Savage']",,
47,First They Killed My Father,Angelina Jolie,Angelina Jolie Rithy Panh Ted Sarandos Michael Vieira,Loung Ung Angelina Jolie,"['First They Killed My Father', 'by Loung Ung']",Sreymoch Sareum Kompheak Phoeung Socheata Sveng Dara Heng Kimhak Mun,Marco Beltrami,Anthony Dod Mantle,Xavier Box Patricia Rommel,,Netflix,136 minutes,Cambodia , French,136,22000000,2017,,Jolie Pas,
48,Gerald's Game,Mike Flanagan,Trevor Macy,,"[""Gerald's Game"", 'by', 'Stephen King']",Carla Gugino Bruce Greenwood,The Newton Brothers,Michael Fimognari,Mike Flanagan,,Netflix,103 minutes,United States,English,103,,2017,Mike Flanagan Jeff Howard,Intrepid Pictures,
49,Our Souls at Night,Ritesh Batra,Robert Redford Erin Simms Finola Dwyer,Scott Neustadter Michael H. Weber,"['Our Souls at Night', 'by', 'Kent Haruf']",Robert Redford Jane Fonda,Elliot Goldenthal,Stephen Goldblatt,John F. Lyons,,Netflix,101 minutes,United States,English,101,,2017,,"['Netflix', 'Wildwood Enterprises, Inc']",
50,Bomb Scared,Borja Cobeaga,,,,Javier Cámara Julián López Miren Ibarguren,,,,Deluxe Spain Mediapro Netflix,Netflix,89 minutes,Spain,Spanish,89,,2017,Diego San José Borja Cobeaga,,
51,The Babysitter,McG,McG Mary Viola Zack Schiller,,,Samara Weaving Judah Lewis Hana Mae Lee Robbie Amell Bella Thorne,Douglas Pipes,Shane Hurlbut,Peter Gvozdas Martin Bernfeld,Boies / Schiller Film Group Production Wonderland Sound and Vision,Netflix,85 minutes,United States,English,85,,2017,Brian Duffield,,
52,The Meyerowitz Stories (New and Selected),Noah Baumbach,Scott Rudin Noah Baumbach Lila Yacoub Eli Bush,,,Adam Sandler Ben Stiller Dustin Hoffman Emma Thompson,Randy Newman,Robbie Ryan,Jennifer Lame,,Netflix,112 minutes,United States,English,112,11400000,2017,Noah Baumbach,IAC Films Scott Rudin Productions,
53,1922,Zak Hilditch,Ross M. Dinerstein,,"['1922', 'by', 'Stephen King']","['Thomas Jane', 'Neal McDonough', 'Molly Parker']",Mike Patton,Ben Richardson,Merlin Eden,,Netflix,101 minutes,United States,English,101,,2017,Zak Hilditch,"['Campfire Productions', 'Mist Entertainment']",
54,Wheelman,Jeremy Rush,Joe Carnahan Craig Chapman Frank Grillo J. Todd Harris Chady Eli Mattar Myles Nestel Scott C. Silver,,,Frank Grillo Garret Dillahunt Caitlin Carmichael Wendy Moniz,"['Brooke Blair', 'Will Blair']",Juanmi Azpiroz,Padraic McKinley,,Netflix (US),82 minutes,United States,English,82,,2017,Jeremy Rush,"['The Solution Entertainment Group', 'WarParty Films']",
